latitude,longitude,DepthInMeters,ObservationDate
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,2/10/1982
25.747,-84.35,159,2/7/1982
25.747,-84.35,159,2/7/1982
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,2/10/1982
25.747,-84.35,159,2/7/1982
25.747,-84.35,159,2/7/1982
25.747,-84.35,159,2/7/1982
25.747,-84.35,159,2/7/1982
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,2/8/1982
25.275,-84.25,159,2/8/1982
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,7/26/1981
25.275,-84.25,159,8/2/1981
25.747,-84.35,159,2/7/1982
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,8/2/1981
25.747,-84.35,159,2/7/1982
25.747,-84.35,159,2/7/1982
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,2/7/1982
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,2/8/1982
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,8/2/1981
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,2/7/1982
25.747,-84.35,159,7/26/1981
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,8/2/1981
25.747,-84.35,159,2/7/1982
25.275,-84.25,159,2/10/1982
26.278,-84.07,137,2/6/1982
25.747,-84.35,159,2/7/1982
25.747,-84.35,159,2/7/1982
25.747,-84.35,159,7/26/1981
25.275,-84.25,159,2/8/1982
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,8/2/1981
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,2/7/1982
25.747,-84.35,159,2/7/1982
25.275,-84.25,159,2/8/1982
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,2/8/1982
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,2/8/1982
25.747,-84.35,159,1981
25.747,-84.35,159,1981
25.747,-84.35,159,1981
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,2/7/1982
25.747,-84.35,159,2/7/1982
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,2/8/1982
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,7/26/1981
25.747,-84.35,159,7/26/1981
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,2/8/1982
25.275,-84.25,159,8/2/1981
