decimallongitude,decimallatitude,date_year,scientificname,depth
144.031,-11.592,,Montipora foliosa,
146.503,-18.657,,Montipora foliosa,
144.031,-11.587,,Montipora foliosa,
152.083,-23.5,,Montipora foliosa,
152.083,-23.5,,Montipora foliosa,
159.066,-31.533,,Montipora foliosa,
-176.0,0.800000012,,Montipora foliosa,
-162.3999939,5.800000191,,Montipora foliosa,
-162.3999939,5.800000191,,Montipora foliosa,
122.0400009,6.880000114,,Montipora foliosa,
122.0699997,6.900000095,,Montipora foliosa,
122.0699997,6.900000095,,Montipora foliosa,
123.0299988,-12.27999973,,Montipora foliosa,
123.0299988,-12.27999973,,Montipora foliosa,
123.1500015,9.571669579,1978.0,Montipora foliosa,13.5
123.1500015,9.571669579,1978.0,Montipora foliosa,13.5
129.875,-4.534719944,1975.0,Montipora foliosa,3.0
145.3166656,-15.13333321,1995.0,Montipora foliosa,5.0
145.363327,-15.71733284,1995.0,Montipora foliosa,2.0
145.3658295,-15.72333336,1995.0,Montipora foliosa,2.0
145.3661652,-15.72966671,1995.0,Montipora foliosa,4.0
145.3833313,-15.69999981,1995.0,Montipora foliosa,7.0
145.4013367,-15.7159996,1995.0,Montipora foliosa,7.0
145.4013367,-15.7159996,1995.0,Montipora foliosa,3.0
145.4458313,-15.64299965,1995.0,Montipora foliosa,6.0
145.4498291,-15.64983368,1995.0,Montipora foliosa,5.0
145.4678345,-15.73866653,1995.0,Montipora foliosa,0.0
145.4700012,-15.73600006,1995.0,Montipora foliosa,5.0
145.4968872,-16.29240036,,Montipora foliosa,5.0
145.4968872,-16.29240036,,Montipora foliosa,2.0
145.5069733,-16.30183411,,Montipora foliosa,5.0
145.5257111,-16.51348305,,Montipora foliosa,2.0
145.5259552,-16.51325035,,Montipora foliosa,5.0
145.5633392,-16.38750076,1995.0,Montipora foliosa,3.0
145.6895447,-16.72698402,,Montipora foliosa,2.0
145.6922607,-16.72929955,,Montipora foliosa,5.0
145.7621613,-16.12716675,1995.0,Montipora foliosa,7.0
146.0076599,-17.15183258,1996.0,Montipora foliosa,10.0
146.0076599,-17.15183258,1996.0,Montipora foliosa,5.0
146.0146637,-17.15366745,1996.0,Montipora foliosa,8.0
146.0738373,-17.20666695,1995.0,Montipora foliosa,6.0
146.0767975,-17.20405006,,Montipora foliosa,2.0
146.0788269,-17.20350075,1996.0,Montipora foliosa,4.0
146.091568,-17.21946716,,Montipora foliosa,5.0
146.0948334,-17.22533417,1996.0,Montipora foliosa,12.0
146.0948334,-17.22533417,1996.0,Montipora foliosa,3.0
146.2825012,-18.14850044,1997.0,Montipora foliosa,6.0
146.2918396,-18.14916611,1997.0,Montipora foliosa,6.0
146.3878326,-17.70949936,1996.0,Montipora foliosa,3.0
146.4225006,-17.70683289,1996.0,Montipora foliosa,3.0
146.4326477,-18.81069946,,Montipora foliosa,5.0
146.5630035,-17.57966614,1996.0,Montipora foliosa,12.0
146.5630035,-17.57966614,1996.0,Montipora foliosa,3.0
146.5778351,-17.56900024,1996.0,Montipora foliosa,9.0
146.8105774,-19.19468307,,Montipora foliosa,2.0
146.8487701,-19.17130089,,Montipora foliosa,2.0
146.8622284,-19.15688324,,Montipora foliosa,2.0
148.3603363,-19.98783302,1995.0,Montipora foliosa,3.0
148.4810028,-20.0656662,1994.0,Montipora foliosa,2.0
148.4878387,-20.07733345,1994.0,Montipora foliosa,2.0
148.4972382,-20.08018303,,Montipora foliosa,2.0
148.5083313,-20.07816696,1995.0,Montipora foliosa,3.0
148.513855,-20.08111572,,Montipora foliosa,5.0
148.513855,-20.08111572,,Montipora foliosa,2.0
148.5540009,-19.9956665,1995.0,Montipora foliosa,3.0
148.5713348,-20.09566689,1994.0,Montipora foliosa,4.0
148.6060028,-20.13299942,1995.0,Montipora foliosa,3.0
148.6086731,-20.10199928,1995.0,Montipora foliosa,3.0
148.6243286,-20.01533318,1995.0,Montipora foliosa,3.0
148.7131653,-20.11266708,1995.0,Montipora foliosa,3.0
148.8032227,-20.30173302,,Montipora foliosa,5.0
148.8121796,-20.25341606,,Montipora foliosa,2.0
148.8873291,-20.16566658,1995.0,Montipora foliosa,3.0
148.9056702,-20.14550018,1995.0,Montipora foliosa,8.0
148.9513397,-20.30833244,1995.0,Montipora foliosa,3.0
149.040329,-20.23566628,1995.0,Montipora foliosa,3.0
149.0744934,-20.16133308,1995.0,Montipora foliosa,3.0
149.1056671,-20.26600075,1995.0,Montipora foliosa,8.0
149.3885498,-20.91121674,,Montipora foliosa,2.0
149.3908234,-20.91181755,,Montipora foliosa,5.0
149.4213104,-20.92734909,,Montipora foliosa,2.0
